X,Y
0,121.000
1,127.437
2,122.140
3,111.079
4,112.798
5,110.246
6,105.160
7,99.549
8,102.676
9,104.093
10,93.706
11,87.750
12,83.828
13,87.155
14,84.709
15,78.540
16,82.851
17,89.431
18,87.779
19,83.900
20,84.898
21,82.742
22,81.417
23,79.418
24,87.207
25,77.130
26,76.244
27,82.099
28,82.924
29,83.594
30,81.788
31,77.515
32,81.662
33,80.962
34,76.921
35,78.835
36,84.357
37,83.544
38,84.597
39,86.883
40,92.080
41,91.813
42,97.248
43,97.615
44,98.844
45,94.453
46,98.144
47,103.867
48,104.697
49,116.955
50,123.753
51,136.820
52,144.464
53,154.239
54,157.627
55,166.060
56,168.919
57,195.762
58,204.420
59,221.101
60,243.179
61,260.831
62,270.201
63,289.091
64,314.834
65,329.858
66,355.173
67,373.214
68,386.916
69,387.876
70,373.812
71,372.725
72,387.405
73,361.676
74,337.725
75,326.630
76,304.352
77,274.261
78,263.754
79,237.352
80,237.697
81,226.709
82,207.372
83,186.353
84,169.797
85,168.812
86,168.840
87,159.958
88,149.577
89,127.400
90,121.174
91,125.973
92,115.697
93,113.350
94,107.375
95,99.626
96,98.044
97,92.672
98,97.186
99,94.209
100,88.962
101,95.543
102,92.122
103,85.141
104,92.861
105,94.657
106,88.746
107,89.299
108,91.156
109,91.404
110,94.476
111,82.799
112,87.604
113,95.469
114,93.089
115,88.905
116,96.352
117,96.580
118,94.333
119,93.273
120,102.282
121,103.869
122,108.073
123,113.614
124,110.990
125,115.200
126,118.151
127,121.599
128,116.183
129,118.012
130,113.803
131,128.208
132,129.714
133,130.788
134,136.402
135,134.049
136,138.099
137,131.812
138,139.754
139,137.159
140,123.987
141,130.358
142,127.719
143,129.794
144,121.210
145,116.517
146,115.235
147,104.401
148,112.232
149,106.189
150,100.319
151,106.975
152,101.479
153,95.159
154,93.256
155,96.019
156,88.813
157,83.863
158,84.902
159,90.841
160,86.830
161,81.302
162,90.632
163,82.912
164,77.471
165,77.330
166,81.840
167,76.840
168,75.639
169,74.836
170,74.044
171,83.463
172,77.856
173,76.242
174,72.478
175,73.184
176,79.129
177,74.855
178,78.468
179,89.169
180,82.815
181,78.184
182,81.446
183,79.526
184,83.620
185,82.541
186,86.893
187,80.663
188,85.566
189,88.913
190,91.967
191,91.189
192,87.461
193,87.387
194,99.104
195,100.722
196,101.304
197,104.814
198,108.498
199,112.496
200,117.350
201,121.140
202,117.659
203,121.729
204,128.234
205,134.971
206,137.773
207,144.674
208,155.043
209,163.008
210,171.190
211,176.892
212,202.519
213,212.852
214,214.862
215,226.382
216,246.915
217,267.888
218,299.390
219,304.461
220,333.549
221,376.480
222,400.861
223,423.026
224,428.877
225,431.520
226,408.353
227,403.026
228,395.481
229,390.949
230,373.770
231,345.568
232,319.791
233,296.718
234,273.335
235,270.047
236,245.859
237,232.045
238,218.492
239,196.465
240,186.500
241,180.822
242,173.051
243,157.667
244,139.990
245,134.076
246,131.871
247,132.658
248,123.527
249,118.720
250,109.339
251,113.479
252,107.246
253,102.741
254,97.434
255,100.193
256,100.458
257,99.788
258,103.585
259,105.509
260,99.192
261,105.499
262,99.076
263,94.151
264,90.301
265,89.447
266,90.293
267,87.329
268,86.817
269,88.195
270,90.006
271,94.416
272,87.721
273,80.791
274,91.049
275,94.176
276,98.871
277,94.958
278,92.246
279,92.824
280,94.909
281,94.735
282,107.272
283,107.561
284,106.963
285,110.101
286,106.392
287,109.228
288,117.256
289,120.781
290,118.264
291,123.134
292,125.654
293,122.685
294,124.747
295,130.432
296,129.643
297,123.548
298,133.652
299,136.637
300,137.639
301,143.013
302,142.321
303,130.009
304,136.152
305,143.049
306,139.958
307,137.670
308,133.896
309,141.060
310,124.277
311,122.478
312,120.567
313,108.976
314,116.369
315,115.995
316,111.014
317,112.394
318,109.745
319,102.732
320,102.512
321,93.012
322,100.062
323,100.090
324,94.816
325,86.815
326,95.174
327,88.498
328,83.978
329,83.869
330,95.504
331,91.353
332,83.617
333,83.735
334,81.888
335,81.763
336,80.997
337,83.933
338,79.481
339,84.166
340,78.905
341,80.853
342,81.186
343,80.373
344,76.752
345,79.126
346,81.218
347,80.923
348,86.557
349,88.661
350,83.332
351,86.403
352,85.546
353,82.622
354,81.973
355,83.133
356,80.414
357,87.200
358,86.380
359,82.015
360,84.903
361,83.984
362,86.743
363,90.941
364,94.934
365,91.532
366,97.424
367,93.657
368,92.895
369,91.851
370,93.858
371,100.536
372,94.497
373,97.479
374,96.481
375,100.670
376,105.824
377,118.367
378,111.842
379,119.089
380,123.861
381,134.809
382,136.411
383,136.738
384,142.941
385,142.414
386,153.271
387,160.430
388,172.614
389,169.508
390,184.556
391,196.839
392,205.863
393,218.068
394,220.404
395,247.528
396,267.848
397,263.054
398,285.335
399,300.884
400,337.593
401,354.438
402,384.763
403,382.932
404,397.442
405,393.186
406,376.810
407,373.673
408,376.305
409,358.704
410,341.211
411,338.279
412,331.217
413,326.614
414,320.286
415,293.812
416,267.851
417,259.781
418,234.720
419,220.000
420,202.601
421,188.931
422,178.542
423,176.895
424,167.820
425,148.288
426,148.677
427,148.829
428,131.643
429,134.946
430,126.067
431,124.656
432,119.102
433,114.122
434,115.092
435,108.855
436,112.846
437,98.672
438,107.501
439,109.490
440,107.859
441,101.271
442,102.295
443,100.862
444,94.930
445,103.026
446,102.724
447,91.340
448,93.660
449,92.375
450,93.328
451,92.325
452,97.581
453,104.681
454,100.639
455,99.182
456,101.289
457,98.389
458,91.771
459,98.284
460,93.165
461,93.746
462,97.993
463,93.320
464,102.947
465,102.680
466,97.679
467,96.942
468,93.568
469,98.331
470,98.501
471,102.551
472,99.641
473,106.455
474,111.429
475,111.109
476,113.306
477,115.183
478,114.258
479,128.171
480,125.343
481,117.879
482,123.136
483,124.325
484,128.312
485,123.052
486,132.010
487,128.372
488,137.669
489,135.178
490,133.012
491,135.859
492,133.966
493,133.466
494,130.844
495,142.192
496,144.838
497,145.646
498,145.509
499,150.187
500,147.233
501,148.436
502,138.080
503,140.497
504,146.442
505,141.841
506,139.247
507,132.150
508,132.897
509,127.113
510,124.445
511,126.139
512,120.005
513,122.294
514,121.470
515,118.203
516,112.349
517,111.012
518,111.769
519,111.298
520,101.484
521,108.743
522,107.784
523,109.397
524,103.744
525,98.245
526,93.898
527,98.002
528,97.181
529,92.108
530,94.597
531,94.061
532,88.481
533,93.497
534,93.352
535,89.184
536,96.593
537,92.645
538,92.504
539,91.492
540,86.094
541,91.556
542,82.481
543,75.127
544,81.667
545,76.442
546,77.528
547,77.828
548,74.440
549,83.358
550,86.967
551,86.612
552,86.076
553,89.594
554,86.417
555,82.867
556,85.881
557,81.443
558,82.680
559,86.954
560,87.424
561,85.148
562,83.298
563,90.689
564,79.198
565,76.188
566,84.082
567,85.932
568,87.223
569,81.128
570,84.694
571,86.095
572,85.596
573,89.505
574,96.622
575,95.019
576,95.365
577,93.029
578,93.643
579,96.541
580,101.123
581,96.590
582,100.863
583,102.869
584,104.155
585,99.162
586,102.170
587,106.562
588,106.979
589,107.318
590,116.009
591,124.964
592,127.623
593,134.727
594,135.890
595,129.209
596,138.987
597,142.754
598,159.036
599,150.593
600,146.184
601,164.971
602,170.451
603,178.858
604,182.261
605,192.049
606,195.118
607,213.480
608,216.601
609,227.616
610,235.578
611,248.580
612,273.214
613,279.172
614,294.851
615,327.849
616,342.488
617,349.593
618,365.564
619,390.107
620,398.951
621,404.508
622,428.745
623,448.950
624,442.494
625,443.090
626,451.906
627,445.655
628,413.035
629,394.411
630,372.399
631,353.144
632,337.842
633,313.591
634,297.279
635,290.936
636,271.477
637,254.858
638,239.430
639,232.480
640,220.088
641,208.872
642,212.598
643,197.174
644,190.202
645,176.069
646,170.509
647,165.705
648,161.660
649,150.206
650,141.814
651,124.670
652,127.721
653,131.178
654,121.771
655,121.828
656,114.229
657,111.430
658,116.432
659,116.587
660,115.470
661,104.290
662,98.307
663,99.105
664,102.845
665,102.921
666,105.869
667,102.469
668,99.700
669,95.096
670,91.896
671,94.672
672,97.300
673,97.426
674,96.632
675,111.211
676,98.439
677,96.367
678,101.750
679,86.608
680,86.055
681,91.912
682,91.721
683,91.104
684,96.668
685,93.556
686,94.638
687,90.286
688,88.779
689,88.728
690,83.978
691,94.057
692,97.270
693,95.505
694,95.337
695,96.164
696,97.903
697,92.864
698,89.536
699,89.608
700,93.588
701,94.736
702,93.427
703,101.416
704,96.586
705,91.960
706,94.759
707,103.181
708,98.355
709,96.481
710,104.186
711,97.251
712,105.433
713,102.309
714,109.042
715,106.853
716,116.712
717,119.416
718,118.466
719,114.263
720,113.701
721,114.111
722,118.904
723,103.901
724,109.580
725,115.983
726,116.878
727,122.248
728,128.920
729,129.524
730,126.527
731,118.159
732,133.610
733,131.176
734,122.511
735,124.102
736,132.446
737,135.711
738,144.650
739,146.334
740,142.232
741,142.921
742,148.346
743,137.177
744,132.009
745,139.800
746,146.724
747,135.907
748,139.878
749,140.001
750,133.486
751,136.980
752,133.444
753,120.105
754,121.987
755,118.240
756,117.818
757,116.879
758,119.901
759,114.697
760,113.466
761,102.919
762,115.555
763,112.111
764,111.014
765,107.224
766,102.903
767,117.379
768,109.896
769,106.014
770,102.913
771,97.888
772,93.932
773,95.754
774,100.212
775,99.421
776,95.853
777,93.751
778,91.981
779,89.665
780,85.837
781,90.821
782,81.505
783,89.138
784,90.263
785,86.338
786,89.115
787,89.862
788,84.110
789,84.413
790,85.999
791,83.785
792,87.956
793,85.022
794,73.602
795,86.806
796,83.680
797,78.469
798,83.987
799,82.825
800,88.033
801,79.339
802,89.376
803,93.355
804,81.281
805,82.019
806,75.556
807,80.603
808,80.033
809,84.038
810,80.761
811,80.850
812,77.918
813,78.774
814,80.106
815,79.000
816,79.155
817,74.486
818,83.553
819,85.724
820,82.198
821,84.750
822,78.632
823,81.706
824,82.880
825,84.771
826,80.267
827,82.387
828,82.972
829,77.759
830,76.511
831,80.535
832,80.675
833,86.374
834,84.604
835,82.606
836,85.028
837,80.167
838,83.878
839,81.371
840,81.361
841,86.213
842,86.624
843,88.441
844,90.847
845,86.153
846,89.512
847,85.544
848,88.508
849,90.580
850,99.832
851,94.587
852,93.209
853,93.868
854,87.819
855,97.718
856,98.370
857,94.860
858,94.010
859,90.954
860,98.961
861,102.179
862,100.843
863,100.749
864,106.898
865,101.747
866,110.587
867,110.210
868,108.071
869,108.257
870,120.780
871,119.019
872,119.798
873,120.864
874,125.552
875,128.275
876,126.188
877,124.282
878,123.863
879,126.702
880,134.909
881,131.521
882,132.836
883,137.081
884,132.623
885,146.777
886,156.070
887,154.024
888,165.000
889,163.251
890,169.844
891,172.541
892,176.990
893,179.911
894,188.186
895,192.649
896,189.518
897,200.880
898,209.398
899,209.238
900,220.950
901,236.908
902,236.653
903,249.192
904,258.440
905,258.474
906,278.776
907,287.085
908,294.012
909,317.440
910,338.127
911,354.305
912,358.811
913,359.866
914,384.829
915,397.322
916,416.477
917,457.616
918,444.238
919,435.114
920,445.962
921,440.178
922,451.427
923,452.032
924,446.892
925,435.193
926,440.009
927,434.827
928,422.330
929,418.061
930,404.723
931,392.723
932,371.557
933,342.905
934,342.368
935,330.924
936,319.890
937,318.731
938,299.489
939,288.870
940,283.147
941,262.799
942,248.245
943,224.024
944,223.618
945,212.177
946,207.575
947,202.349
948,189.426
949,210.445
950,192.533
951,188.215
952,183.345
953,171.647
954,166.603
955,169.246
956,161.135
957,160.136
958,153.947
959,154.169
960,152.770
961,148.704
962,143.560
963,134.859
964,144.779
965,136.041
966,121.567
967,121.986
968,124.955
969,133.484
970,121.446
971,117.960
972,119.905
973,115.257
974,119.420
975,123.884
976,123.823
977,120.458
978,118.533
979,117.109
980,116.725
981,114.429
982,119.622
983,114.901
984,103.684
985,105.514
986,103.012
987,106.623
988,105.001
989,108.895
990,105.594
991,109.115
992,111.923
993,104.502
994,105.190
995,108.218
996,98.411
997,114.847
998,108.722
999,102.785
1000,105.390
1001,102.200
1002,104.265
1003,107.218
1004,106.587
1005,104.125
1006,102.865
1007,100.353
1008,99.088
1009,102.123
1010,97.877
1011,90.512
1012,98.006
1013,102.697
1014,106.341
1015,98.112
1016,91.839
1017,89.881
1018,93.680
1019,96.548
1020,101.000
1021,98.728
1022,99.307
1023,100.702
1024,102.982
1025,99.937
1026,101.987
1027,100.654
1028,97.587
1029,95.902
1030,95.036
1031,96.753
1032,107.021
1033,97.235
1034,94.266
1035,91.438
1036,91.111
1037,93.685
1038,97.415
1039,102.244
1040,102.531
1041,98.373
1042,97.331
1043,97.559
1044,92.162
1045,92.563
1046,93.793
1047,90.811
1048,95.655
1049,101.747
1050,98.835
1051,96.860
1052,97.515
1053,99.287
1054,95.638
1055,98.163
1056,87.209
1057,95.900
1058,98.109
1059,98.238
1060,103.993
1061,103.814
1062,98.508
1063,99.468
1064,96.595
1065,104.986
1066,107.944
1067,110.422
1068,109.585
1069,106.952
1070,105.544
1071,94.712
1072,102.021
1073,106.484
1074,108.776
1075,107.535
1076,112.044
1077,110.073
1078,109.568
1079,111.285
1080,102.467
1081,107.175
1082,113.401
1083,116.347
1084,110.633
1085,108.065
1086,114.214
1087,121.358
1088,114.491
1089,117.419
1090,116.917
1091,112.434
1092,115.121
1093,120.468
1094,121.274
1095,118.738
1096,121.248
1097,116.897
1098,116.491
1099,117.061
1100,121.964
1101,125.326
1102,123.495
1103,116.729
1104,124.238
1105,121.986
1106,123.440
1107,116.516
1108,120.847
1109,126.493
1110,121.473
1111,117.070
1112,116.020
1113,117.720
1114,131.094
1115,127.720
1116,124.812
1117,129.569
1118,124.500
1119,120.689
1120,122.409
1121,122.407
1122,125.057
1123,131.661
1124,138.798
1125,131.919
1126,133.845
1127,138.682
1128,139.942
1129,141.838
1130,132.147
1131,139.288
1132,135.048
1133,131.628
1134,129.244
1135,130.690
1136,131.873
1137,126.103
1138,124.510
1139,132.548
1140,123.545
1141,128.415
1142,129.142
1143,135.587
1144,125.833
1145,128.350
1146,128.393
1147,129.720
1148,127.689
1149,126.413
1150,120.266
1151,109.469
1152,124.698
1153,123.214
1154,120.147
1155,122.844
1156,119.778
1157,112.988
1158,114.388
1159,114.076
1160,109.919
1161,111.443
1162,115.453
1163,106.392
1164,107.343
1165,113.833
1166,120.152
1167,105.349
1168,105.253
1169,107.879
1170,108.629
1171,108.976
1172,110.757
1173,111.826
1174,106.163
1175,106.144
1176,110.375
1177,113.681
1178,104.193
1179,98.818
1180,107.212
1181,104.046
1182,102.537
1183,103.507
1184,103.138
1185,106.151
1186,104.681
1187,109.588
1188,104.525
1189,100.769
1190,101.756
1191,99.650
1192,103.908
1193,100.549
1194,109.101
1195,113.795
1196,99.238
1197,96.612
1198,91.423
1199,94.578
1200,94.697
1201,96.077
1202,92.564
1203,101.596
1204,93.723
1205,94.665
1206,103.039
1207,98.123
1208,96.639
1209,99.456
1210,94.231
1211,101.208
1212,99.332
1213,97.149
1214,97.651
1215,93.960
1216,94.894
1217,99.111
1218,94.240
1219,94.060
1220,91.277
1221,92.489
1222,98.601
1223,93.038
1224,91.775
1225,91.389
1226,100.404
1227,102.659
1228,92.006
1229,90.547
1230,85.494
1231,82.255
1232,86.508
1233,88.453
1234,92.814
1235,88.343
1236,90.519
1237,91.369
1238,86.684
1239,81.349
1240,77.564
1241,86.268
1242,92.181
1243,94.338
1244,88.296
1245,87.238
1246,81.878
1247,86.472
1248,86.066
1249,82.544
1250,85.337
1251,84.478
1252,91.932
1253,86.860
1254,88.199
1255,84.990
1256,94.207
1257,88.218
1258,86.157
1259,87.010
1260,86.052
1261,89.169
1262,78.300
1263,85.066
1264,85.745
1265,87.135
1266,98.412
1267,84.412
1268,84.412
1269,84.305
1270,86.234
1271,89.499
1272,91.448
1273,88.635
1274,87.194
1275,86.501
1276,86.559
1277,83.569
1278,85.628
1279,90.266
1280,85.600
1281,78.247
1282,83.011
1283,83.486
1284,90.611
1285,80.397
1286,76.235
1287,81.181
1288,87.245
1289,88.021
1290,85.060
1291,81.988
1292,84.230
1293,85.091
1294,92.234
1295,87.551
1296,84.360
1297,86.578
1298,81.314
1299,94.777
1300,91.122
1301,88.562
1302,94.604
1303,92.028
1304,90.454
1305,88.177
1306,94.062
1307,90.109
1308,95.574
1309,84.108
1310,84.114
1311,87.716
1312,78.518
1313,86.792
1314,91.467
1315,87.390
1316,86.062
1317,82.603
1318,81.056
1319,82.526
1320,84.423
1321,86.010
1322,82.190
1323,81.000
1324,79.925
1325,82.845
1326,86.471
1327,88.840
1328,83.947
1329,89.984
1330,88.209
1331,87.712
1332,86.781
1333,85.470
1334,81.354
1335,81.137
1336,83.418
1337,87.539
1338,78.886
1339,81.558
1340,87.131
1341,94.660
1342,76.253
1343,89.755
1344,88.767
1345,78.663
1346,85.679
1347,85.791
1348,87.794
1349,87.846
1350,87.517
1351,88.952
1352,87.298
1353,82.990
1354,90.650
1355,87.206
1356,85.000
1357,90.654
1358,90.961
1359,87.923
1360,86.295
1361,87.892
1362,86.883
1363,87.176
1364,86.126
1365,99.347
1366,92.554
1367,88.072
1368,87.359
1369,93.434
1370,90.106
1371,83.629
1372,81.995
1373,93.388
1374,94.340
1375,90.927
1376,92.753
1377,84.054
1378,84.742
1379,88.794
1380,89.765
1381,93.515
1382,89.756
1383,93.088
1384,93.737
1385,95.793
1386,96.422
1387,97.227
1388,97.703
1389,91.146
1390,89.150
1391,92.155
1392,93.114
1393,91.610
1394,88.153
1395,96.148
1396,92.184
1397,97.811
1398,98.620
1399,91.925
1400,93.622
1401,83.790
1402,90.037
1403,96.512
1404,92.272
1405,90.635
1406,87.038
1407,92.111
1408,94.260
1409,92.444
1410,98.169
1411,94.732
1412,88.320
1413,84.436
1414,94.839
1415,90.136
1416,92.065
1417,91.915
1418,99.438
1419,93.471
1420,95.129
1421,92.918
1422,98.614
1423,95.633
1424,84.564
1425,95.011
1426,94.260
1427,95.919
1428,95.803
1429,92.162
1430,99.141
1431,92.191
1432,92.097
1433,89.057
1434,90.999
1435,92.378
1436,86.431
1437,92.090
1438,90.387
1439,87.992
1440,89.162
1441,95.552
1442,86.740
1443,98.120
1444,97.092
1445,100.508
1446,94.139
1447,93.064
1448,98.349
1449,89.629
1450,86.607
1451,96.567
1452,104.972
1453,99.561
1454,100.791
1455,98.946
1456,96.273
1457,96.550
1458,92.718
1459,93.270
1460,103.149
1461,98.092
1462,101.706
1463,98.720
1464,93.618
1465,101.341
1466,88.603
1467,92.522
1468,95.643
1469,93.404
1470,102.601
1471,100.156
1472,88.808
1473,93.656
1474,94.519
1475,93.262
1476,99.498
1477,102.921
1478,99.030
1479,93.965
1480,90.976
1481,86.049
1482,96.546
1483,98.878
1484,104.306
1485,98.518
1486,95.576
1487,96.597
1488,96.749
1489,91.398
1490,89.625
1491,92.196
1492,89.779
1493,99.566
1494,93.773
1495,93.238
1496,108.872
1497,96.627
1498,95.866
1499,89.416
1500,108.268
1501,101.249
1502,99.532
1503,100.821
